J. Date,Date,Week,Observer,Site,S. Time,E. Time,Duration,S. % Sun,E. % Sun,S. Wind,E. Wind,S. Temp,E. Temp,Total,Individual,Section,Gender,Behavior,Nectar,Species,Comments,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,14,D-E,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,,E-F,,,,NONE,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,15,F-G,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,16,G-H,,9,,SULF,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,17,G-H,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,18,G-H,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,19,G-H,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,20,G-H,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,21,H-I,,3,BCUP,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,22,H-I,,3,BCUP,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,23,H-I,,5,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,24,I-J,,"8,1",,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,25,I-J,,"8,1",,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,26,I-J,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,27,J-K,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,28,J-K,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,29,K-L,,3,DAND,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,30,K-L,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,31,L-M,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,32,L-M,,9,,DW/CW,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,33,L-M,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,34,M-N,,2,,ETS,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,35,M-N,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,36,N-O,,9,,LADY,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,37,N-O,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,38,N-O,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,39,O-P,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,40,P-Q,,9,,SSS,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,41,Q-R,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,,R-S,,,,NONE,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,42,S-T,,2,,SULF,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,43,T-U,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,44,T-U,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,45,T-U,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,46,T-U,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,47,T-U,,9,,SULF,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,48,U-V,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,49,U-V,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,50,U-V,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,51,U-V,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,52,U-V,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,,A-D,,,,NONE,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,1,D-E,,9,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,2,D-E,,9,,SSS,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,3,E-F,,2,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,4,E-F,,2,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,5,E-F,,9,,PC,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,6,E-F,,3,Geranium,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,7,F-G,,2,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,8,F-G,,9,,DW/CW,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,9,F-G,,9,,PC,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,10,F-G,,2,,SSS,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,11,F-G,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,12,F-G,,5,,PC,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,13,G-H,,5,,LADY,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,14,G-H,,9,,PC,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,15,H-I,,2,,ETS,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,16,I-J,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,,J-K,,,,NONE,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,,K-L,,,,NONE,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,,L-M,,,,NONE,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,17,M-N,,9,,LADY,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,18,N-O,,9,,LADY,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,19,N-O,,9,,PC,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,20,O-P,,9,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,21,O-P,,9,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,22,O-P,,9,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,23,O-P,,9,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,24,O-P,,9,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,25,O-P,,9,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,26,O-P,,9,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,27,O-P,,9,,SULF,,,,,,,,,
127,5/7/2025,1,VT,R23,1321,1349,,4,4,3,4,,,28,28,O-P,,9,,LADY,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,1,A-B,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,2,A-B,,,,PC,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,3,A-B,,,,PC,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,4,B-C,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,5,C-D,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,6,C-D,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,7,C-D,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,8,C-D,,,,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,9,D-E,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,10,D-E,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,,E-F,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,11,F-G,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,12,F-G,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,,G-H,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,13,H-I,,,,PC,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,14,H-I,,,,PC,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,15,H-I,,,,PC,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,,I-J,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,16,J-K,,,,PC,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,17,J-K,,,,SULF,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,,K-L,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,18,L-M,,,,ETS,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,,M-N,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,19,N-O,,,,DW/CW,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,20,N-O,,,,PC,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,21,N-O,,,,PC,,,,,,,,,
132,5/12/2025,2,KB,B12A,1118,1150,,3,4,3,3,,,22,22,N-O,,,,SULF,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,1,A-B,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,2,A-B,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,3,B-C,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,4,B-C,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,5,B-C,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,6,B-C,,9,,SULF,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,7,B-C,,9,,DW/CW,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,8,C-D,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,9,C-D,,2,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,,D-E,,,,NONE,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,,E-F,,,,NONE,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,,F-G,,,,NONE,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,10,G-H,,5,,SULF,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,,H-I,,,,NONE,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,11,I-J,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,12,I-J,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,13,J-K,,5,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,14,K-L,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,15,L-M,,9,,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,16,L-M,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,,M-N,,,,NONE,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,,N-O,,,,NONE,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,17,O-P,,9,,CW,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,18,P-Q,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,19,P-Q,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,20,P-Q,,9,,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,21,Q-R,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,22,Q-R,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,23,Q-R,,9,,DW/CW,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,,R-S,,,,NONE,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,24,S-T,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,25,T-U,,9,,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,26,T-U,,9,,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,27,T-U,,9,,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,28,T-U,,9,,PC,,,,,,,,,
132,5/12/2025,2,EM,C4,1349,1430,,4,4,1,1,,,29,29,U-V,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,,A-D,,,,NONE,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,1,D-E,,2,,SULF,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,,E-F,,,,NONE,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,2,F-G,,2,,SULF,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,3,F-G,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,4,F-G,,9,,LADY,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,5,G-H,,9,,SB,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,6,G-H,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,,H-,,,,NONE,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,7,I-J,,3,CINQUE,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,8,J-K,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,,K-L,,,,NONE,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,,L-M,,,,NONE,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,,M-N,,,,NONE,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,9,N-O,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,10,O-P,,5,,LADY,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,11,O-P,,9,,LADY,,,,,,,,,
132,5/12/2025,2,VT,R23,1353,1424,,4,2,1,2,,,12,12,O-P,,9,,LADY,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,A-B,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,B-C,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,C-D,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,D-E,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,1,E-F,,9,,PC,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,F-G,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,G-H,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,2,H-I,,9,,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,I-J,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,J-K,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,3,K-L,,9,,SULF,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,L-M,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,M-N,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,4,N-O,,9,,ACOP,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,5,N-O,,9,,SULF,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,6,N-O,,9,,SULF,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,O-P,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,7,P-Q,,5,,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,8,Q-R,,9,,PC,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,9,R-S,,9,,SULF,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,S-T,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,T-U,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,10,U-V,,9,,LADY,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,V-W,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,,W-X,,,,NONE,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,11,X-Y,,9,,SULF,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,12,X-Y,,9,,PC,,,,,,,,,
132,5/12/2025,2,KB,D1,1238,1313,,4,4,3,3,,,13,13,Y-Z,,5,,PC,,,,,,,,,
132,5/12/2025,2,VT,D3,1237,1324,,4,4,1,0,,,45,1,A-B,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,D3,1237,1324,,4,4,1,0,,,45,2,B-C,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,D3,1237,1324,,4,4,1,0,,,45,3,B-C,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,D3,1237,1324,,4,4,1,0,,,45,4,B-C,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,D3,1237,1324,,4,4,1,0,,,45,5,B-C,,9,,PC,,,,,,,,,
132,5/12/2025,2,VT,D3,1237,1324,,4,4,1,0,,,45,6,B-C,,3,HS,SB,,HONEYSUCKLE,,,,,,,
132,5/12/2025,2,VT,D3,1237,1324,,4,4,1,0,,,45,7,B-C,,9,,BLUE/AZ,,,,,,,,,
132,5/12/2025,2,VT,D3,1237,1324,,4,4,1,0,,,45,8,C-D,,9,,BLUE/AZ,,,,,,,,,
